TimeStamp - 2021-03-10_12-22-47-587   |    CPU Utilization - 11.940298507462686567164179100   |    Memory Utilization - 3663   |    Package Temperature - 49   |    Max Core Frequency - 1.8094911856626541304993572084   |    Processor Cache Frequency - 2.5939032029384756657483930211   |    Processor Graphics Frequency - 1097.4205858585858585858585858   |    Active Core Count - 1   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 2.7757961838664861833091002965   |    Core 0 Frequency - 1.81374427441751   |    Core 1 Frequency - 1.74419164257041
TimeStamp - 2021-03-10_12-22-48-618   |    CPU Utilization - 21.969696969696969696969696970   |    Memory Utilization - 3664   |    Package Temperature - 57   |    Max Core Frequency - 2.3638205891269332879185722071   |    Processor Cache Frequency - 2.8949204885376930063578564941   |    Processor Graphics Frequency - 1098.0732887556766575840145323   |    Active Core Count - 1   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 7.9048944535778545074099808614   |    Core 0 Frequency - 2.36796821730009   |    Core 1 Frequency - 2.12838112198793
TimeStamp - 2021-03-10_12-22-49-880   |    CPU Utilization - 46.913580246913580246913580250   |    Memory Utilization - 3803   |    Package Temperature - 55   |    Max Core Frequency - 2.2785515570137404887061060329   |    Processor Cache Frequency - 2.5934469733089579524680073126   |    Processor Graphics Frequency - 1097.2275656307129798903107861   |    Active Core Count - 1   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 7.5761192210804352716765632019   |    Core 0 Frequency - 2.23069228037675   |    Core 1 Frequency - 2.28430891751646
TimeStamp - 2021-03-10_12-22-51-851   |    CPU Utilization - 100   |    Memory Utilization - 3814   |    Package Temperature - 72   |    Max Core Frequency - 2.567948743574401770704349091   |    Processor Cache Frequency - 2.5941859386181818181818181820   |    Processor Graphics Frequency - 1097.5402048000000000000000001   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.779284480790115831823911642   |    Core 0 Frequency - 2.57370400243933   |    Core 1 Frequency - 2.57364522650438
TimeStamp - 2021-03-10_12-22-53-080   |    CPU Utilization - 100   |    Memory Utilization - 3805   |    Package Temperature - 76   |    Max Core Frequency - 2.5852016141900498674293848922   |    Processor Cache Frequency - 2.5926084777697841726618705037   |    Processor Graphics Frequency - 1098.2932162162162162162162162   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.71738395845143924757471731   |    Core 0 Frequency - 2.59257198035511   |    Core 1 Frequency - 2.59257201946517
TimeStamp - 2021-03-10_12-22-54-552   |    CPU Utilization - 100   |    Memory Utilization - 3814   |    Package Temperature - 77   |    Max Core Frequency - 2.5815456332549027529513513514   |    Processor Cache Frequency - 2.5912416052079566003616636529   |    Processor Graphics Frequency - 1096.2945252802893309222423147   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.338613935565315171960197738   |    Core 0 Frequency - 2.58555692708939   |    Core 1 Frequency - 2.57417876530217
TimeStamp - 2021-03-10_12-22-56-068   |    CPU Utilization - 100   |    Memory Utilization - 3822   |    Package Temperature - 79   |    Max Core Frequency - 2.57981341691971537061870483   |    Processor Cache Frequency - 2.5949585320930232558139534883   |    Processor Graphics Frequency - 1097.8670712701252236135957066   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.820495166493048247007413733   |    Core 0 Frequency - 2.58482446019543   |    Core 1 Frequency - 2.58482546099924
TimeStamp - 2021-03-10_12-22-57-703   |    CPU Utilization - 100   |    Memory Utilization - 3824   |    Package Temperature - 79   |    Max Core Frequency - 2.5889981338249589838247129393   |    Processor Cache Frequency - 2.5965144297514995715509854328   |    Processor Graphics Frequency - 1098.5253356640959725792630677   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.499690723230146994254650415   |    Core 0 Frequency - 2.5924717290099   |    Core 1 Frequency - 2.59247361417095
TimeStamp - 2021-03-10_12-22-59-514   |    CPU Utilization - 100   |    Memory Utilization - 3811   |    Package Temperature - 81   |    Max Core Frequency - 2.5639670637330178486322748643   |    Processor Cache Frequency - 2.5926819444705882352941176470   |    Processor Graphics Frequency - 1096.9038995837104072398190045   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.480625902233823790541891482   |    Core 0 Frequency - 2.58816328466552   |    Core 1 Frequency - 2.58816821580619
TimeStamp - 2021-03-10_12-23-01-216   |    CPU Utilization - 100   |    Memory Utilization - 3801   |    Package Temperature - 81   |    Max Core Frequency - 2.5824942052034948011132068654   |    Processor Cache Frequency - 2.5949105199638663053297199638   |    Processor Graphics Frequency - 1097.8467584462511291779584462   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.538778778865786958096908465   |    Core 0 Frequency - 2.58755401781913   |    Core 1 Frequency - 2.58755933272897
TimeStamp - 2021-03-10_12-23-02-849   |    CPU Utilization - 100   |    Memory Utilization - 3799   |    Package Temperature - 82   |    Max Core Frequency - 2.5660550253234882795122308387   |    Processor Cache Frequency - 2.5960905415329125338142470693   |    Processor Graphics Frequency - 1098.3459983408476104598737601   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.521240603936272279840159252   |    Core 0 Frequency - 2.57354434289567   |    Core 1 Frequency - 2.58685673630073
