TimeStamp - 2021-03-10_12-42-51-169   |    CPU Utilization - 7.954545454545454545454545450   |    Memory Utilization - 3704   |    Package Temperature - 58   |    Max Core Frequency - 2.144514674111922588770529197   |    Processor Cache Frequency - 2.8953440637591240875912408758   |    Processor Graphics Frequency - 1098.2339552189781021897810218   |    Active Core Count - 1   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 7.8023076859568472808204539327   |    Core 0 Frequency - 2.11167004626913   |    Core 1 Frequency - 2.14796321886875
TimeStamp - 2021-03-10_12-42-52-201   |    CPU Utilization - 10.606060606060606060606060610   |    Memory Utilization - 3703   |    Package Temperature - 54   |    Max Core Frequency - 2.1469830544636496051849270073   |    Processor Cache Frequency - 2.5936976284671532846715328467   |    Processor Graphics Frequency - 1097.3336120437956204379562044   |    Active Core Count - 1   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 3.6444194261202178062616957978   |    Core 0 Frequency - 2.13838390174774   |    Core 1 Frequency - 2.15219996361121
TimeStamp - 2021-03-10_12-42-53-249   |    CPU Utilization - 23.507462686567164179104477610   |    Memory Utilization - 3700   |    Package Temperature - 56   |    Max Core Frequency - 2.3423013853165248795652069917   |    Processor Cache Frequency - 2.8921941871205151793928242871   |    Processor Graphics Frequency - 1097.0391744250229990800367985   |    Active Core Count - 1   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 4.2443199186800263404228732624   |    Core 0 Frequency - 2.29264720930487   |    Core 1 Frequency - 2.34862307920643
TimeStamp - 2021-03-10_12-42-54-639   |    CPU Utilization - 99.12790697674418604651162791   |    Memory Utilization - 3832   |    Package Temperature - 54   |    Max Core Frequency - 2.0514928913248703355934922091   |    Processor Cache Frequency - 2.5936926669110907424381301560   |    Processor Graphics Frequency - 1097.3315129239230064161319891   |    Active Core Count - 1   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 7.5922445198272948308383396753   |    Core 0 Frequency - 2.05648170482625   |    Core 1 Frequency - 1.96822181823794
TimeStamp - 2021-03-10_12-42-56-561   |    CPU Utilization - 100   |    Memory Utilization - 3830   |    Package Temperature - 76   |    Max Core Frequency - 2.5711924815078990800088657533   |    Processor Cache Frequency - 2.5966151977576853526220614829   |    Processor Graphics Frequency - 1098.5679682820976491862567812   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.501026524231179165154822319   |    Core 0 Frequency - 2.58140711964912   |    Core 1 Frequency - 2.58140593229958
TimeStamp - 2021-03-10_12-42-58-352   |    CPU Utilization - 100   |    Memory Utilization - 3838   |    Package Temperature - 78   |    Max Core Frequency - 2.5873255735477165672262158273   |    Processor Cache Frequency - 2.5930353360431654676258992805   |    Processor Graphics Frequency - 1097.0534114028776978417266187   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.391606527336872678804356987   |    Core 0 Frequency - 2.59427490158664   |    Core 1 Frequency - 2.5942707421905
TimeStamp - 2021-03-10_12-42-59-854   |    CPU Utilization - 100   |    Memory Utilization - 3836   |    Package Temperature - 80   |    Max Core Frequency - 2.5612297547671112245714409377   |    Processor Cache Frequency - 2.5924524318294849023090586147   |    Processor Graphics Frequency - 1096.8067980817051509769094139   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.664926128866721952415256102   |    Core 0 Frequency - 2.58998239514585   |    Core 1 Frequency - 2.58998131824086
TimeStamp - 2021-03-10_12-43-02-056   |    CPU Utilization - 100   |    Memory Utilization - 3835   |    Package Temperature - 76   |    Max Core Frequency - 2.5760328158810805862757236363   |    Processor Cache Frequency - 2.5968431102545454545454545454   |    Processor Graphics Frequency - 1098.6643928000000000000000000   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.266068482295668087266463701   |    Core 0 Frequency - 2.5791635574077   |    Core 1 Frequency - 2.57916440729232
TimeStamp - 2021-03-10_12-43-03-776   |    CPU Utilization - 100   |    Memory Utilization - 3821   |    Package Temperature - 80   |    Max Core Frequency - 2.5820507054663591210387625114   |    Processor Cache Frequency - 2.5922596332788374205267938238   |    Processor Graphics Frequency - 1096.7252294641235240690281562   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.705676157742235733093299041   |    Core 0 Frequency - 2.588235477601   |    Core 1 Frequency - 2.59418994903543
TimeStamp - 2021-03-10_12-43-05-439   |    CPU Utilization - 100   |    Memory Utilization - 3817   |    Package Temperature - 82   |    Max Core Frequency - 2.5758470689244381279488992805   |    Processor Cache Frequency - 2.5945459612949640287769784172   |    Processor Graphics Frequency - 1097.6925220863309352517985611   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.476519800246069639226183622   |    Core 0 Frequency - 2.58126180037331   |    Core 1 Frequency - 2.58125981019409
TimeStamp - 2021-03-10_12-43-07-084   |    CPU Utilization - 100   |    Memory Utilization - 3814   |    Package Temperature - 83   |    Max Core Frequency - 2.5637385529812920485447509026   |    Processor Cache Frequency - 2.5926891416606498194945848374   |    Processor Graphics Frequency - 1096.9069445487364620938628158   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.896460496701642530032151507   |    Core 0 Frequency - 2.56911255625796   |    Core 1 Frequency - 2.58193521409964
TimeStamp - 2021-03-10_12-43-08-130   |    CPU Utilization - 100   |    Memory Utilization - 3813   |    Package Temperature - 82   |    Max Core Frequency - 2.581078524061539754464791328   |    Processor Cache Frequency - 2.5949788358446251129177958447   |    Processor Graphics Frequency - 1097.8756613188798554652213189   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.770718965829597369757126444   |    Core 0 Frequency - 2.58607279175583   |    Core 1 Frequency - 2.58607078537033
TimeStamp - 2021-03-10_12-43-09-762   |    CPU Utilization - 100   |    Memory Utilization - 3813   |    Package Temperature - 81   |    Max Core Frequency - 2.5736424488754604447304195298   |    Processor Cache Frequency - 2.5961088738517179023508137432   |    Processor Graphics Frequency - 1098.3537543218806509945750452   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.770718965829597369757126444   |    Core 0 Frequency - 2.57749438587711   |    Core 1 Frequency - 2.57749990166953
TimeStamp - 2021-03-10_12-43-11-117   |    CPU Utilization - 100   |    Memory Utilization - 3813   |    Package Temperature - 85   |    Max Core Frequency - 2.5898423305296646296897391305   |    Processor Cache Frequency - 2.5926788917391304347826086957   |    Processor Graphics Frequency - 1096.9026080434782608695652174   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.996377869850140620350721712   |    Core 0 Frequency - 2.59715542901664   |    Core 1 Frequency - 2.59715482221196
TimeStamp - 2021-03-10_12-43-12-686   |    CPU Utilization - 100   |    Memory Utilization - 3813   |    Package Temperature - 85   |    Max Core Frequency - 2.5871427304939395206823862193   |    Processor Cache Frequency - 2.5953316653490480507706255665   |    Processor Graphics Frequency - 1098.0249353399818676337262012   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.5514495623754119043486137   |    Core 0 Frequency - 2.59179344841792   |    Core 1 Frequency - 2.59179633535569
TimeStamp - 2021-03-10_12-43-14-311   |    CPU Utilization - 100   |    Memory Utilization - 3812   |    Package Temperature - 86   |    Max Core Frequency - 2.5864407838087025958647653429   |    Processor Cache Frequency - 2.5946862028442844284428442844   |    Processor Graphics Frequency - 1097.7518550495049504950495049   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.884469447216082478301509767   |    Core 0 Frequency - 2.59774590353007   |    Core 1 Frequency - 2.59774804460172
TimeStamp - 2021-03-10_12-43-15-875   |    CPU Utilization - 100   |    Memory Utilization - 3813   |    Package Temperature - 81   |    Max Core Frequency - 2.5732776572940654835685444646   |    Processor Cache Frequency - 2.5926778771687840290381125227   |    Processor Graphics Frequency - 1096.9021788021778584392014519   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.700210226192471287640504932   |    Core 0 Frequency - 2.58054499090749   |    Core 1 Frequency - 2.58054386849193
TimeStamp - 2021-03-10_12-43-17-439   |    CPU Utilization - 100   |    Memory Utilization - 3813   |    Package Temperature - 87   |    Max Core Frequency - 2.5824308861031418466128852755   |    Processor Cache Frequency - 2.5947644492863595302619692864   |    Processor Graphics Frequency - 1097.7849593134598012646793135   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.981155198808080377749419282   |    Core 0 Frequency - 2.58764155093724   |    Core 1 Frequency - 2.58764064484868
TimeStamp - 2021-03-10_12-43-19-119   |    CPU Utilization - 100   |    Memory Utilization - 3813   |    Package Temperature - 82   |    Max Core Frequency - 2.5835365884073399626747725631   |    Processor Cache Frequency - 2.5904518799636693914623069937   |    Processor Graphics Frequency - 1095.9604107538601271571298820   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 17.046277411568120744240222639   |    Core 0 Frequency - 2.58659647414131   |    Core 1 Frequency - 2.58657627332614
TimeStamp - 2021-03-10_12-43-20-837   |    CPU Utilization - 100   |    Memory Utilization - 3813   |    Package Temperature - 85   |    Max Core Frequency - 2.5867570709159519863528711432   |    Processor Cache Frequency - 2.5968594283847549909255898365   |    Processor Graphics Frequency - 1098.6712966243194192377495462   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.855883956077033192823848518   |    Core 0 Frequency - 2.58988542501308   |    Core 1 Frequency - 2.58988456230856
TimeStamp - 2021-03-10_12-43-22-518   |    CPU Utilization - 100   |    Memory Utilization - 3823   |    Package Temperature - 88   |    Max Core Frequency - 2.5796420588676310436210314464   |    Processor Cache Frequency - 2.5903326047798742138364779873   |    Processor Graphics Frequency - 1095.9099481761006289308176100   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.931545441140853503926402669   |    Core 0 Frequency - 2.58926647443468   |    Core 1 Frequency - 2.58926955583984
TimeStamp - 2021-03-10_12-43-24-198   |    CPU Utilization - 100   |    Memory Utilization - 3822   |    Package Temperature - 88   |    Max Core Frequency - 2.5569924432583981997029413854   |    Processor Cache Frequency - 2.5937250172549019607843137255   |    Processor Graphics Frequency - 1097.3451996078431372549019608   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.36851608656586762332179861   |    Core 0 Frequency - 2.58357970421552   |    Core 1 Frequency - 2.58357976342249
TimeStamp - 2021-03-10_12-43-25-802   |    CPU Utilization - 100   |    Memory Utilization - 3822   |    Package Temperature - 88   |    Max Core Frequency - 2.5858227978052721057216909415   |    Processor Cache Frequency - 2.5925511764120781527531083483   |    Processor Graphics Frequency - 1096.8485746358792184724689166   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.60594141119849616797744252   |    Core 0 Frequency - 2.59325228966091   |    Core 1 Frequency - 2.59325215019237
TimeStamp - 2021-03-10_12-43-27-509   |    CPU Utilization - 100   |    Memory Utilization - 3826   |    Package Temperature - 89   |    Max Core Frequency - 2.5489333551320666106254351686   |    Processor Cache Frequency - 2.3955051581769436997319034853   |    Processor Graphics Frequency - 1097.9398641644325290437890974   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.859961176555510677321458253   |    Core 0 Frequency - 2.55410663233514   |    Core 1 Frequency - 2.5541059102203
TimeStamp - 2021-03-10_12-43-29-047   |    CPU Utilization - 100   |    Memory Utilization - 3834   |    Package Temperature - 87   |    Max Core Frequency - 2.571310520694774106408985765   |    Processor Cache Frequency - 2.5923321512455516014234875444   |    Processor Graphics Frequency - 1096.7559101423487544483985765   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.379007110210427781216829642   |    Core 0 Frequency - 2.5789140964179   |    Core 1 Frequency - 2.57891618965349
