TimeStamp - 2021-03-10_11-28-01-869   |    CPU Utilization - 18.181818181818181818181818180   |    Memory Utilization - 3713   |    Package TDP - 5.5291990863050150613266278698   |    Max Core Frequency - 1.7955546164798207646732110092   |    Active Core Count - 1   |    Thermal Throttling - 0   |    Package Temperature - 56   |    Processor Cache Frequency - 2.5949768019082568807339449542   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1097.8748008073394495412844037
TimeStamp - 2021-03-10_11-28-02-896   |    CPU Utilization - 8.712121212121212121212121210   |    Memory Utilization - 3712   |    Package TDP - 5.1523726015394131775720398888   |    Max Core Frequency - 2.2746074858169421334205009074   |    Active Core Count - 1   |    Thermal Throttling - 0   |    Package Temperature - 57   |    Processor Cache Frequency - 2.3938347249364791288566243194   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1097.1742489292196007259528130
TimeStamp - 2021-03-10_11-28-03-926   |    CPU Utilization - 21.969696969696969696969696970   |    Memory Utilization - 3721   |    Package TDP - 5.1009348244795059104452559352   |    Max Core Frequency - 2.2455289296500314046014705882   |    Active Core Count - 1   |    Thermal Throttling - 0   |    Package Temperature - 56   |    Processor Cache Frequency - 2.8927498933823529411764705882   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1097.2499595588235294117647058
TimeStamp - 2021-03-10_11-28-04-955   |    CPU Utilization - 10.769230769230769230769230770   |    Memory Utilization - 3728   |    Package TDP - 5.3486192072226058117457787132   |    Max Core Frequency - 2.3889445176374219281047513813   |    Active Core Count - 1   |    Thermal Throttling - 0   |    Package Temperature - 56   |    Processor Cache Frequency - 2.5941027977900552486187845305   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1097.5050298342541436464088398
TimeStamp - 2021-03-10_11-28-05-981   |    CPU Utilization - 10.606060606060606060606060610   |    Memory Utilization - 3730   |    Package TDP - 4.7012149383675958541765462419   |    Max Core Frequency - 2.2260543099575624520507267709   |    Active Core Count - 1   |    Thermal Throttling - 0   |    Package Temperature - 57   |    Processor Cache Frequency - 2.5931568143514259429622815087   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1097.1048060717571297148114075
TimeStamp - 2021-03-10_11-28-07-229   |    CPU Utilization - 37.658227848101265822784810130   |    Memory Utilization - 3858   |    Package TDP - 5.8436082988566896532297611881   |    Max Core Frequency - 2.2602158478892600103493836246   |    Active Core Count - 1   |    Thermal Throttling - 0   |    Package Temperature - 57   |    Processor Cache Frequency - 2.5958605368905243790248390063   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1098.2486886844526218951241950
TimeStamp - 2021-03-10_11-28-09-019   |    CPU Utilization - 100   |    Memory Utilization - 3862   |    Package TDP - 16.046672318303762793643508652   |    Max Core Frequency - 2.5338169780452700032160142984   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Package Temperature - 76   |    Processor Cache Frequency - 2.5919046251295799821268990169   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1096.5750337086684539767649687
TimeStamp - 2021-03-10_11-28-10-450   |    CPU Utilization - 100   |    Memory Utilization - 3854   |    Package TDP - 16.722631534619944537553307129   |    Max Core Frequency - 2.5830802143183721268204524887   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Package Temperature - 76   |    Processor Cache Frequency - 2.5939746117647058823529411765   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1097.4507972850678733031674208
TimeStamp - 2021-03-10_11-28-12-191   |    CPU Utilization - 100   |    Memory Utilization - 3858   |    Package TDP - 16.180560978670447539857855645   |    Max Core Frequency - 2.5628111491772074620374679892   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Package Temperature - 78   |    Processor Cache Frequency - 2.5945113676465284039675383229   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1097.6778863119927862939585212
TimeStamp - 2021-03-10_11-28-13-690   |    CPU Utilization - 100   |    Memory Utilization - 3853   |    Package TDP - 16.841493040481267697359309918   |    Max Core Frequency - 2.5879043060063623850852216215   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Package Temperature - 80   |    Processor Cache Frequency - 2.5948710825945945945945945944   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1097.8300734054054054054054053
TimeStamp - 2021-03-10_11-28-15-161   |    CPU Utilization - 100   |    Memory Utilization - 3857   |    Package TDP - 15.773448797189708830066077098   |    Max Core Frequency - 2.5851937752709964392280904978   |    Active Core Count - 2   |    Thermal Throttling - 0   |    Package Temperature - 82   |    Processor Cache Frequency - 2.5927829929411764705882352942   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1096.9466508597285067873303168
